title_clean,job_count,companies,salary_min,salary_max,skills,company_count,skill_count
Data Analyst,32,"['D L RESOURCES PTE LTD', 'CAPGEMINI SINGAPORE  PTE. LTD.', 'SERVICE CONNECTIONS HR CONSULTANCY PTE. LTD.', 'SCIENTE INTERNATIONAL PTE. LTD.', 'HAYS SPECIALIST RECRUITMENT PTE. LTD.', 'LINK2 MANPOWER PTE. LTD.', 'GUNVOR SINGAPORE PTE. LTD.', 'WILLIAMS-SONOMA SINGAPORE PTE. LTD.', 'RAPSYS TECHNOLOGIES PTE. LTD.', 'OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD', 'ABEAM CONSULTING (SINGAPORE) PTE. LTD.', 'GMP TECHNOLOGIES (S) PTE LTD', 'GMP RECRUITMENT SERVICES (S) PTE LTD', 'YARA ASIA PTE. LTD.', 'NTT SINGAPORE PTE. LTD.', 'LUMENS PTE. LTD.', 'ESGPEDIA PTE. LTD.', 'SINGAPORE EXECUTIVE SERVICES PTE. LTD.', 'BGC GROUP PTE. LTD.', 'ELLIOTT MOSS CONSULTING PTE. LTD.', 'VISIONPOWER SEMICONDUCTOR MANUFACTURING COMPANY PTE. LTD.', 'ERP21 PTE LTD', 'DELFI LIMITED', 'MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD', 'NETWORK GUARD PTE. LTD.']",800,14000,"['Python', 'SQL', 'Dashboards', 'Tableau', 'Power BI', 'Data Analysis', 'Computer Science', 'Microsoft Excel', 'Data Science', 'Analytical and Problem-Solving Skills', 'Data Quality Assurance', 'ETL', 'Statistics', 'Translate Into Technical Requirements', 'Design', 'Collaboration With Stakeholders', 'Business Insights', 'Data Governance', 'Banking', 'large datasets', 'Data Management', 'Engaging Stakeholders', 'Data Visualisation', 'Data Pipeline', 'SQL Development', 'Data Warehousing', 'Data-Driven Decision Making', 'Patterns', 'Machine Learning', 'Pipelines', 'Data Mining', 'User Acceptance Testing', 'Mathematics', 'Data Analysis Tools', 'Banking Analytics', 'UAT', 'Business Data Analysis', 'Business Intelligence and Data Analytics', 'Dashboard Construction', 'Liaising with cross functional teams', 'Data Modelling', 'Regulatory Compliance', 'Microsoft SQL Server', 'Data Migration Strategy', 'Anomaly Detection', 'Legacy Modernization', 'banking environment', 'Data Cleaning', 'data collection methodology', 'Customer Segmentation', 'Data Storytelling', 'Reporting Tools', 'Relational Databases', 'requirements from stakeholders', 'Business Requirement Analysis', 'Data Validation', 'Database Optimization', 'Writing', 'Manufacturing', 'Business Requirements Document', 'Data Profiling', 'Data Integration', 'data integration projects', 'Functional Specifications', 'Market Trend Analysis', 'Valuation', 'Economics', 'Market Data', 'MySQL', 'Analytics Support', 'Business Operational Planning', 'Predictive Analytics', 'Work in A Fast Paced Environment', 'Implementation of Best Practices', 'Maintenance of data integrity', 'Retail & Consultancy', 'Business Optimization', 'Data Mapping', 'Data Assessment', 'Migration Practices', 'Development', 'Problem Analysis', 'ETL specification', 'reporting solution', 'Maintaining internal databases', 'Data Analysis and Interpretation', 'Report Generation', 'Manufacturing Workflow Management', 'Accuracy and Precision', 'Analytical Capability', 'Product Planning', 'Process Improvement', 'Business Intelligence Development', 'Customer Analysis', 'Customer Conversion', 'enforces coding standards', 'Jobs Growth', 'Project Coordination', 'Stakeholder Management', 'Cloud Administration']",25,100
Data Analytics,1,['GMP TECHNOLOGIES (S) PTE LTD'],5000,6800,"['Machine Learning', 'Kubernetes', 'AWS', 'Healthcare', 'Medical Terminology', 'Infocomm Security and Data Privacy', 'Databricks', 'Data Governance', 'Python', 'Statistical Analysis', 'Docker', 'DevSecOps', 'FastAPI', 'Data Visualisation']",1,14
Data Analytics Engineer,1,['R SYSTEMS CONSULTING SERVICES LIMITED'],5200,6200,"['Development Lifecycle', 'Apache Spark', 'Scala', 'Big Data Framework', 'Process Improvement', 'Data Pipeline', 'Data Warehouse Systems', 'Python', 'CI/CD', 'Apache Kafka', 'Cloud Services', 'Hive', 'Rest Apis']",1,13
Data Analytics Solution Architect,1,['OPUS IT SERVICES PTE LTD'],7000,9000,"['Microsoft Azure', 'Terraform', 'Data Modelling', 'Kubernetes', 'AWS', 'ETL', 'Data Integration', 'Data Governance', 'GCP compliance', 'SQL', 'Solution Architecture', 'Python', 'Data Architecture', 'Docker', 'GCP', 'Data Warehousing']",1,16
Data And AI Solution Architect,1,['MICROSOFT OPERATIONS PTE LTD'],12000,22500,"['Business Roadmaps', 'Requirements Traceability', 'Intellectual Property Management', 'Partner Development', 'Architecture', 'Convincing the Customer', 'Delivery of Business Solutions', 'Virtual Team Management', 'Sales Experience', 'Customer Centric Solutions', 'Computer Science', 'Windows Domain', 'Consulting', 'Management Experience', 'Project Management Professional', 'Cost Savings']",1,16
Data And Artificial Intelligence Scientist,1,['ACTIVATE INTERACTIVE PTE LTD'],6000,12000,"['Written and Verbal Communication Abilities', 'Communication', 'Ai', 'Computer Engineering', 'Manufacturing Automation', 'Programming Languages', 'Natural Language Processing', 'CVS', 'Mathematics', 'Deep Foundations', 'Computer Science', 'Cross Functional Team Building', 'Recommender Systems', 'Cloud Services', 'Presentation Skills', 'Statistics']",1,16
Data Architect,13,"['HITACHI RAIL SINGAPORE PTE. LTD.', 'RANDSTAD PTE. LIMITED', 'IBM SINGAPORE PTE LTD', 'SCIENTEC CONSULTING PTE. LTD.', 'USER EXPERIENCE RESEARCHERS PTE. LTD.', 'INFOGAIN SOLUTIONS PTE. LIMITED', 'MICHAEL PAGE (PERSONNEL) PTE. LTD.', 'INFINEON TECHNOLOGIES ASIA PACIFIC PTE LTD', 'CAPGEMINI SINGAPORE  PTE. LTD.', 'SEATRIUM (SG) PTE. LTD.', 'KUOK (SINGAPORE) LIMITED', 'MENRVA PTE. LTD.']",5500,21000,"['Data Architecture', 'Data Governance', 'ETL', 'Regulatory Compliance', 'Data Science', 'Data Modelling', 'Data Pipeline', 'Python', 'AWS', 'Data Infrastructure', 'ETL Tools', 'Data Engineering', 'SQL', 'Data Warehouse Systems', 'Access Control Management', 'Structured data analysis', 'Architect', 'Orchestration', 'IAM', 'Data Warehouse Architectures', 'Computer Information Systems', 'Information Technology', 'Apache Hadoop', 'Data Mining', 'Master Data Management', 'Computer Science', 'EMR', 'Data Management', 'Airflow', 'Neo4j', 'Indexing', 'Semantic Search', 'Embedding', 'Apache Kafka', 'Cadence', 'Performance Tuning', 'Confidence Building', 'Data Validation', 'Computer Engineering', 'Data Quality Standards', 'Maintenance of data integrity', 'Predictive Analytics', 'Data Processing', 'Business Requirement Analysis', 'Cloud Infrastructure', 'privacy and data protection', 'API', 'Processing Operations', 'Machine Learning', 'Analytical Skills', 'Pipelines', 'Google Cloud', 'Java', 'banking industry', 'Logic', 'Data Integration', 'Financial Crime Laws and Regulations', 'APAC', 'Datastream', 'GCP', 'Application Integration Architecture', 'Metadata Management', 'Analytics Support', 'Robust Design', 'Security', 'Real-Time Database', 'Reliable', 'Data Lineage', 'Application Frameworks', 'Design-Build', 'Scalable Architecture', 'Reliability Analysis', 'Oracle', 'Applications Integration', 'Cloud Compliance', 'Modelling', 'Cloud-Based Platform', 'Enterprise Vault', 'Commodity Trading', 'High Availability', 'Pipeline Development', 'Tooling', 'Star Schema', 'Enterprise IT Infrastructure', 'System Health Checks', 'Cloudwatch', 'data cube', 'data-flow diagrams', 'Compliance Organization', 'Amazon Redshift', 'Real-Time Systems', 'Automation Tools', 'Lead implementation', 'Encryption', 'Analytical Approach', 'Retention Management', 'Planning', 'Model Driven Development', 'Roadmap', 'Archival Preservation']",12,100
Data Bau Lead,1,['MICHAEL PAGE INTERNATIONAL PTE LTD'],7500,9000,"['Liaising with cross functional teams', 'Process Improvement', 'Lead Selection', 'System Integrity', 'BAU activities', 'Data Quality Assurance', 'Data Management Services', 'Managing Daily Operations', 'Engaging Stakeholders', 'Lead Construction', 'Lead implementation', 'Identifying Trends', 'Legal Compliance', 'Bau Support', 'Accuracy and Precision', 'Operational Workflow']",1,16
Data Center Autocad Design Engineer,1,['ASTREYA ASIA PACIFIC PTE. LIMITED'],6500,13000,"['Troubleshooting', 'Scalability', 'CCNA', 'Data Center', 'Data Centre environments', 'Active Directory', 'VMware', 'VCP', 'Data Centre Facilities Management', 'MCSE', 'Networking', 'Telecommunications', 'AutoCAD', 'Cabling', 'Physical Design', 'Data Center Architecture']",1,16
Data Center Controls Facilities Technician,1,['GOOGLE ASIA PACIFIC PTE. LTD.'],4000,8000,"['Facilities Environmental', 'Networking Protocols', 'Preparation of Technical Documents', 'Hardware Maintenance', 'Computerized Maintenance Management System', 'Microsoft Certified Solutions Associate', 'Technical Training', 'Control Systems', 'Great communications skills', 'Actuators', 'Alarm System Management', 'CMMS', 'BMS', 'knowledge of data center']",1,14
